Link,title,location,salary,summary
https://kr.indeed.com/viewjob?jk=de908de0c3550872,[SK 바이오팜] HR기획원 신입/경력사원,SK바이오팜 서울,,경영·인사·총무·사무>인사·채용·인재개발(HRM·HRD)>인사관리|경영·인사·총무·사무>인사·채용·인재개발(HRM·HRD)>인사기획|인터넷·IT·통신·모바일·게임>ERP·시스템분석·설계>데이터분석|재무·회계·경리>세무·회계...
https://kr.indeed.com/viewjob?jk=648c85b680981074,2020년 예금보험공사 신입직원 채용안내,예금보험공사 서울 중구,,"1. 채용예정 인원 : 30명 이내 채용분야 채용규모 직무기술서 금융일반 첨부 참고 경영 11명 경제 7명 금융통계 3명 회수조사 5명 IT 4명 합계 30명 이내 2. 지원자격 구분 지원자격 공통 ① 학력, 연령..."
https://kr.indeed.com/viewjob?jk=c8c986d1b3b42298,2020년 신입직원 공개,한국예탁결제원 서울,,"우대사항 : - 부산지역인재, 보훈대상자, 장애인, 사회적 취약계층, 공공기관 청년인턴, 전문자격증, 고졸분야 금융자격증, 고졸분야 컴퓨터자격증 한국예탁결제원 한국예탁결제원 2020년 신입직원 공개채용 고용형태 인턴 모집인원..."
https://kr.indeed.com/viewjob?jk=799ebff942f51239,채용 관리 담당자/HR Recruiting Assistant (Contr...,TikTok 서울,,Responsibilities -채용 업무 운영 (각종 채용 채널 관리: 지원자를 확인하고 당사 채용 관리 시스템에 이력서 등 지원자 정보를 업데이트) - 지원자 문의 대응 - 채용 시스템 정보 업데이트 - 당사 채용 관리...
https://kr.indeed.com/viewjob?jk=554bae5393e03127,Office Manager,Motional 서울,,"We are growing our team in South Korea... part... growth we are looking... talented Office Manager, who..."
https://kr.indeed.com/viewjob?jk=e2c47036484e07b1,2020년도 제11회 국립정신건강센터 직원,국립정신건강센터 서울,,"[공무원·공공 ] - 국가공무원법 제33조(외무공무원은 외무공무원법 제9조, 검찰직 공무원은 검찰정법 제50조)의 임용 결격사유가 없는자 - 대한민국 국적자 - 7급 이상 : 20세 이상, 8,9급 : 18세 이상 [국립정신건..."
https://kr.indeed.com/viewjob?jk=aeaf3c4448bf21f1,Team Administrator (Finance and Administ...,뉴질랜드대사관 서울 중구,,Team Administrator (Finance and Administration) New Zealand Embassy Seoul The New Zealand Embassy in Seoul is looking...
https://kr.indeed.com/viewjob?jk=ad27f39584d0b3c2,2020년 사무보조원(일용계약직),서민금융진흥원 서울,,우대사항 : 장애인 서민금융진흥원 2020년 서민금융진흥원 사무보조원(일용계약직) 채용공고 고용형태 계약직 모집인원 3명 자격요건 학력 : 무관 경력 : 신입/경력(연차무관) 나이 : 무관 우대사항 장애인 결격사유 - 대한민...
https://kr.indeed.com/viewjob?jk=94570c577437782c,2020년 사무보조,은행연합회 서울 중구,,"사무보조 모집 회사소개 모집분야 및 지원 자격 모집부문 담당업무 사무보조 - 은행연합회 부서 사무 업무보조 - 문서작성, 문서수발, 물품관리 - 문의, 전화응대 등 전형절차 근무기간 분기 단위(3개월 단위 연장 가능) 근무지..."
https://kr.indeed.com/viewjob?jk=c4084b48aa343225,지원직,한국체육산업개발 서울,,"우대사항 : 국가유공자, 장애인, 저소득층 한국체육산업개발(주) 한국체육산업개발(주) 지원직 채용공고 고용형태 계약직, 정규직 모집인원 21명 자격요건 학력 : 무관 경력 : 신입/경력(연차무관) 나이 : 무관 우대사항 국가..."
